Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,RowSums,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,1,7,1,7,1,7,1,7,2,2,2,1,20,1,2,4,70,2,1,8,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,1,7,1,7,1,7,1,7,3,3,1,1,37,1,10,0,10,1,2,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,4,6,4,5,6,3,7,5,4,3,2,3,2,2,19,1,10,1,10,2,1,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,6,4,7,1,7,4,7,1,7,2,3,2,1,15,2,10,1,10,2,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,AU,2,7,2,7,2,7,2,7,1,3,1,1,2,1,39,3,12,1,60,1,3,2,None
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,3,5,7,6,7,7,6,7,2,0,3,1,2,23,1,10,5,10,2,1,8,"pychology , art  , english"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,6,5,7,7,1,6,5,5,3,5,1,3,2,1,15,1,2,5,50,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,5,2,7,4,7,5,6,2,1,4,3,1,2,27,1,10,1,70,1,1,6,Sociology anthropology 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,7,7,7,7,1,7,1,1,7,7,2,3,2,2,14,1,10,1,10,2,1,3,Psychology 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,2,3,3,1,5,0,6,4,7,2,1,2,1,15,1,10,5,10,1,1,2,civil engineering
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,1,1,7,1,7,1,7,1,1,4,3,1,2,19,2,6,5,10,2,1,1,Marine Engineering
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,7,7,7,7,7,1,7,1,1,6,2,3,1,1,25,1,4,0,10,2,1,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,3,5,5,7,5,7,7,7,2,2,1,3,2,2,15,2,1,5,70,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,7,1,7,1,7,1,1,1,7,4,1,3,1,45,3,10,5,20,1,1,10,english 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,7,7,7,7,7,7,7,7,7,7,3,3,2,2,24,1,10,1,10,2,1,3,NETWORK
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,GB,1,6,5,7,6,6,5,5,1,2,2,1,2,2,20,1,2,2,60,2,1,1,
